,Protein,Group1Mean,Group2Mean,Log2FoldChange1-2,PValues1-2,Group1RepCounts,Group2RepCounts,CorrectedPValue,TM_M2012_010,TM_M2012_011,TM_M2012_012,TM_M2012_018,TM_M2012_019,TM_M2012_020,TM_M2012_028,TM_M2012_030,TM_M2012_031,TM_M2012_039,TM_M2012_040,TM_M2012_041,TM_M2012_047,TM_M2012_048,TM_M2012_050,TM_M2012_058,TM_M2012_059,TM_M2012_060,TM_M2012_066,TM_M2012_067,TM_M2012_068,TM_M2012_075,TM_M2012_076,TM_M2012_078,TM_M2012_081,TM_M2012_082,TM_M2012_086,TM_M2012_092,TM_M2012_093,TM_M2012_094,TM_M2012_102,TM_M2012_103,TM_M2012_104,TM_M2012_110,TM_M2012_112,TM_M2012_113,TM_M2012_121,TM_M2012_122,TM_M2012_123,TM_M2012_127,TM_M2012_128,TM_M2012_129,TM_M2012_130,TM_M2012_134,TM_M2012_135,TM_M2012_138,TM_M2012_140,TM_M2012_141,TM_M2012_144,TM_M2012_148,TM_M2012_149,TM_M2012_154,TM_M2012_155,TM_M2012_156,TM_M2012_162,TM_M2012_163,TM_M2012_164,TM_M2012_168,TM_M2012_169,TM_M2012_170,TM_M2012_175,TM_M2012_176,TM_M2012_177,TM_M2012_178,TM_M2012_182,TM_M2012_183,TM_M2012_186,TM_M2012_188,TM_M2012_189,TM_M2012_196,TM_M2012_197,TM_M2012_198
10,P02787,24.44631560529843,24.394727421173506,0.05158818412492394,0.6387968387576806,30,42,0.7009383394327279,24.68001646619707,24.214733714400182,24.32699279088852,25.032037461797852,24.79976351738216,24.824566240542627,24.790071199624442,24.509099509467774,24.47112909394011,24.518472577486648,24.234186148444692,24.152659568786788,24.188862453985045,24.03219800357195,23.61844768088384,24.017632716082495,23.66111008607284,23.409042187176567,24.116739117703816,24.245508920018498,24.286402395599247,24.37615552330131,24.28737090357562,24.159367656746966,24.41744668245348,24.46270203743582,24.249832959133254,24.621992923940752,24.438546104929465,24.27277364994735,24.298916126306263,24.11605931563338,24.112104475285175,25.1434628816565,24.9792711373663,25.073443328878042,25.12221243270871,24.77529117472077,24.42742682482646,23.809934365848804,23.75107723705043,23.715433370779717,23.596868581026104,23.420510902306702,23.632085578167818,24.88209563984404,24.486200744767974,24.91645105773117,24.459799618919806,24.274053077401454,24.532923913667624,24.31841036845716,24.443515011506836,24.457000692869563,24.41536555687524,23.76797516436276,24.090413600106594,24.60550996974625,24.681324088302443,24.692084617392585,24.415032837501084,24.184377079498432,24.485427916931496,24.840149369401384,24.801221285931938,24.762360798234692,24.596142033879087,24.46359791775959,24.71191909226684,25.159226921206635,25.51212268837698,25.623360761221914
11,P04264,19.2515490231918,19.590941574819347,-0.33939255162754733,0.2521292901306491,27,39,0.425236033829763,19.104840843562428,18.30391805735556,19.5527454699431,19.387664916670236,19.488566752402637,,19.080505438941337,18.66125860984982,,17.59676704606811,17.657550598132143,17.67255471225771,19.484291644501063,17.495377606032825,18.644079798359915,20.595585711375335,19.229031901703845,19.55954690495558,20.604109111422215,18.264018732458602,,19.70874478107402,18.167820344201253,18.456042285542978,20.72925036917334,17.92224007276813,20.944321040981528,19.48954590876007,19.42241903691134,19.181165919065734,20.7614795740713,,19.800428387648793,19.70826373341962,18.938563958809986,17.908843954892518,20.612849681220172,17.957758092271508,19.52178577870132,22.251829444940743,17.910427261323704,,21.2071822988936,17.851175702667188,17.953543270606612,18.36623788841851,22.398072506293758,19.950263207613443,20.298814288366152,19.77912376362706,21.336363498927053,20.796320134478567,19.81219907283209,19.398769605105375,19.476163524731604,20.88893395062206,19.0386754684999,21.364857025076425,,19.633671729759268,19.26384855322419,20.60914206315189,20.236354390062488,20.523560545024075,18.604741001726715,18.224373357663673,18.37434396739267,19.96063964136684,18.126512286072987,19.639805743807894,19.75290078092981,21.195762295420614
12,P13667,20.332418892977515,19.137078837746238,1.1953400552312772,0.20189027924747688,3,4,0.3794452278471146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.637156888594514,,,,,,,,,,,,,20.918865337352337,20.282244243879788,19.796147097700423,,,,,,,,,,,,,,,,,,,,,,17.618366685523792,19.67155258666871,20.621239190197926
13,P08238,20.79179418598632,20.333178418467313,0.45861576751900657,0.5664155763543905,3,3,0.6672598496962312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54209603786875,20.82071529721076,20.012571222879448,,,,,,,,,,,,,,,,,,,,,,19.25586410549677,20.466549602988685,21.27712154691648
14,P02671,24.93191037304149,25.07065744384334,-0.1387470708018519,0.20211655352660376,30,42,0.3794452278471146,24.38165576601462,26.015231222574357,25.467926513992253,24.274724982843452,24.64840766408242,25.041528064599905,24.500787308988535,24.75392560891652,25.009439238709362,24.842664557061912,25.33509889225475,25.334718625496812,24.43257715326759,24.963097298034,25.019113351088404,24.897279021405165,25.275030596335412,26.01706350214004,24.839496512078757,24.89761598049811,24.931294993620018,25.239805683702258,24.936010619261996,25.137719605870267,25.399170800135327,25.341354824133283,25.19745788903381,25.616289432755856,25.477498960370173,25.66426131717373,23.78208048807377,24.956919320073386,25.34516821977762,24.000596316980285,24.543528427747713,24.818442401548598,24.414895912818604,25.01819788371322,25.480907908843808,25.242742499433877,25.257256698349057,25.223292580800116,25.297506747019874,25.42645337630639,25.294334907466343,24.80382737117482,24.625994262659678,24.70765142559915,24.80529487007271,24.906385033431263,24.594937338328542,24.66357658298774,24.610534956069746,24.673263593414017,24.434431937451897,25.267244825234485,24.78705519458169,25.19644467305296,25.525500373335277,25.372904214096256,25.689881178604903,25.145063099509315,25.2834623483195,25.19095595472307,25.45118429894658,25.309146673372894,24.749984152579824,25.197777418286464,25.043360938198152,23.571103572754023,25.137954131277507,25.18943373921096
15,P02768,25.14740172220597,25.215367182321252,-0.06796546011528193,0.3395623365906638,30,42,0.49930717966656724,25.221465403940858,24.88202077874911,24.934068029455723,25.368638830614042,25.09034168465424,24.99631114827217,25.242557240355442,25.090724766754796,25.075861717058963,24.970958779407052,24.964426369041764,24.991647028871107,25.37275977821905,25.054409740660482,24.899201550031734,24.78806400041517,24.815000236385956,24.78277061972041,25.072608876951183,24.95732903854488,25.05823109400224,25.00473934710125,25.03168800648232,25.02397972444049,25.022731327565808,25.067113378137858,24.99632732981558,25.222447022786916,25.0942367306818,24.94832985676844,25.358033276256844,25.149804496162407,25.052290800334916,25.35002712011499,25.150029211615497,25.14742184468637,25.421334543494588,25.1312565014332,25.07990315170012,25.02498008275823,25.062478076554434,24.981344279029305,25.296011825351748,25.06221370982772,25.17953183382971,26.077854390241132,25.694225175809017,25.857351076444456,25.305257242810633,25.136383415663705,25.316414325272692,25.23808020438624,25.135711201935806,25.09400269265,25.352126222467877,25.156342955187903,25.208313954016887,25.359083120327732,25.253283780356682,25.31889514536498,25.08753210325258,24.869430594386017,24.89688460173748,25.382591524007953,25.22423658939387,25.207408148305987,25.263267738833143,25.08127704105836,25.049144896365295,26.035916877325093,26.119759608505433,26.259048508527986
16,O00391,18.756509397867532,19.418563815217322,-0.6620544173497898,1.9152402285224818e-05,30,42,0.0004868455193095131,18.04930429473721,18.969748266073026,18.655858008497905,18.931273503023252,19.60421432973704,18.546564983112294,17.74191545032417,17.80538878608605,18.232041489075996,18.90358563164853,19.222210458829274,19.319433435305285,19.10840701982947,18.76889286455255,19.183372627062006,18.855761434063954,19.10600730208401,19.64432819062067,20.32671684538221,19.871655783140827,20.026660971966383,18.71260606705301,19.06970944600678,18.531266944629454,19.2185817210473,19.48316831797578,18.612132480367556,19.63462889429523,19.974853662664415,20.33392798069858,18.797888842231504,19.303536094429134,20.151631537261537,19.18896010886428,18.888656276543887,19.196843881481826,18.687310713940036,19.24190150843538,19.875368556409338,18.20718899128466,18.7484686063476,19.02328666662288,19.593325440626643,18.94076656617454,18.9838766292386,19.4935771114931,19.35812227545897,19.952050952500738,19.178336715317954,18.886401534391656,18.79227101420613,18.19089958859262,17.870070888782173,18.01375346814788,20.992070928457384,19.621049066464504,19.86891059972079,19.982428552602197,19.50008957266451,19.32696789097149,19.6378229227495,19.256847924046163,19.98767562072725,18.469133229342596,18.892697624160355,18.841748017933178,18.51922525588207,17.791968664395707,18.664573636408917,19.417222742208995,19.913025591988404,20.582793175756233
17,P06727,22.20373433203337,22.85021119214668,-0.6464768601133102,0.0063651987584143815,30,42,0.03773375588255973,23.12522694760139,21.69468964840945,21.282849234827278,23.131040177994013,23.663692505900176,23.668016657743458,23.51647737655012,23.022847848431503,23.148743817265842,21.699019087843045,21.2693908432369,21.602524605800163,22.64637582138075,22.484183529629142,22.116059412984004,20.90904116773837,21.3316173440811,20.911630621916977,23.271878849129887,22.885255575182995,23.01496975565478,21.47685985611847,21.38528842865852,21.647908726564097,24.098938589351057,23.616264573912307,23.40326144662233,23.391066013747434,23.363294458855616,23.280095963344245,22.622991709575466,22.328871591130188,22.172066536594244,22.28186096588104,21.3599286072346,21.025562962299922,23.692642704830376,23.34222936448259,22.861648704360466,20.388563949109287,20.805559936142757,21.20765926890869,21.662186219785685,21.17924960825496,21.649446757339998,24.56808440977454,24.0216893706934,24.482677711424124,23.22320710882293,22.906689486703534,23.3744197465982,22.591845544137556,22.562359050248492,22.808281980633414,22.856421687396203,22.1845769091228,22.981277136075356,23.845629086317064,23.49513743187129,23.665133931499852,22.18009347436594,22.143349297434778,22.77773977886986,23.160534643457854,23.19773564115163,22.965265927972712,21.313412252864868,21.447586029201375,21.27015003710734,23.625543752530067,23.658410307788557,23.874670524692153
18,P09488,,,,,1,4,,,,,,,,,,,,,,16.846346987030394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.337593157278636,,,,,,,,,,,,,,,,,,,,,,,,18.70651799681268,20.183909296297497,20.55500711789766
19,P02647,24.87990878798274,24.244375448618385,0.6355333393643541,0.0010223573128052361,30,42,0.0101724552624121,25.143868347944025,24.441734000923645,24.431701480529117,25.74915974647412,24.946256968789744,24.930972837976864,25.614418305827748,24.73566788166765,24.398831744264484,25.37255160035853,24.61336434965658,24.439308970715608,25.185777832906727,24.006200209805034,23.810867492188954,24.95197346653485,23.956375762029865,23.486278440675445,24.370078375588793,23.945902931544087,23.986049439229493,24.135931731795402,23.152883698346105,23.06101879474172,23.367131619360308,23.373031326204483,23.438591884140024,24.46442881514027,23.469196000460997,23.446873193186512,25.090302476805547,23.853947006709575,23.615819838930683,25.425905032556702,24.186658192306954,24.181304860040242,25.209342878164836,24.058400741352166,24.13610381894881,25.21795142322457,24.56272043331556,24.2556111580209,24.665792004737067,23.575192690789507,23.784666536408135,26.606891760478906,25.694601291819378,25.606259072236544,24.851004852141827,24.22891098865912,24.261850253217272,25.302757340010487,25.06254058726207,25.131472205417374,24.76132441270368,23.542115942091925,23.707464657415702,24.458239160675156,23.698413069339683,23.74844997051505,24.31206119199974,23.478283838005467,23.457433680187485,25.78120974379931,24.918618068543573,24.94274068266489,25.2398275631827,24.33214127451323,24.378157540728225,26.330016062321743,26.08918149703485,26.492919433170368
