Proteins
P06396
P10643
P03952
P02750
Q04756
P19823
P05156
P61626
P00738
P0C0L4
P02787
P04264
P13667
P08238
P02671
P02768
O00391
P06727
P09488
P02647
P27348
P04275
P01859
O75369
P01042
P01009
P26022
P34897
P00558
P62736
P33908
P05062
P08311
P13671
P50552
P16930
P04114
P48506
Q93088
Q15113
P43251
P02748
O75874
Q12906
Q9BWD1
P01023
Q9Y490
P07996
P61981
P29966
P05164
P04196
P43652
P14625
P12035
P51858
P06681
P27797
P09871
Q03154
P01834
P06733
Q08380
P35908
P11047
Q9NP84
P49189
P02452
P02751
P14555
Q92598
Q02985
P34932
P01031
O76013
P08603
P40926
P19827
P35579
P04003
P31153
P28838
P59998
P13645
P67809
O60361
P35520
P48163
P24821
Q14624
Q71U36
O15143
O75882
P08123
P01833
P26447
Q8IWL1
P14780
Q13011
P23142
P18206
P02774
Q6UWP8
P07900
P02533
P15814
P13010
O95810
Q86UX7
P34931
P01700
P21333
P10253
P21695
P00325
Q8N4T8
Q02818
Q04446
P15169
P00450
Q00765
P00734
P35527
P09110
P98160
P34913
P04406
P02545
P19971
P11766
P13647
P14209
P05362
P08294
Q07960
P02749
P05106
P02649
P07237
P06702
P12259
Q7Z4W1
Q3LXA3
Q08257
Q16473
P37837
Q69YZ2
P29279
Q96IY4
P07737
P01024
Q58FF7
Q14533
Q9Y6R7
P62857
P30101
P16152
P12955
P26038
P00742
Q14914
P05787
Q96A08
P60709
O60701
P11216
Q9NPR2
P02788
P81605
Q15582
P80511
B9A064
P00747
P13639
P02679
Q16698
P07954
P0C0L5
P02760
P10909
P40306
Q9P2E9
P0CG05
P14314
P02765
P24752
P00748
Q9BS26
P33151
P28074
P08263
Q9UGM5
P06454
P04075
Q6UXB8
Q16270
P00352
P80723
Q8TF72
P04208
P50440
P00751
P36955
P68871
P05160
P23141
P18065
Q99969
P11940
Q8NBJ4
P69905
P01034
P07357
P13796
P04731
P08697
P62826
P07437
P01714
P25788
P02792
P35900
P31327
P04732
P10645
O00571
P00492
Q9UBQ7
Q9Y617
P14543
P08107
P29401
P20742
P00739
P55735
P40261
Q13813
P14207
P25786
O75636
P48740
P00488
O43790
Q15942
P40925
P01854
P78417
iRT_protein
P31947
Q1KMD3
Q86VB7
Q96I99
P05107
P63104
P01877
P34896
P39060
P00338
P01891
O76009
P10321
O95497
P20700
P38646
P24043
P12109
Q96I15
O95831
P28072
P13929
P07910
P08571
P63244
P35573
P01889
P61026
P62807
P35749
A6NCN2
P24592
P99999
P67936
P02794
P12814
P10599
P16070
P49720
Q14520
O43493
O00151
Q16851
P13797
P07998
P02747
O14791
P23381
P27918
P34096
P22307
P20810
P49913
P51884
P06737
P06744
A6NL28
P08779
P15291
P13489
Q00796
P13611
P62805
P31040
P17936
P49589
