child,parent
P00326,R-HSA-71384
P00338,R-HSA-70268
P00352,R-HSA-5365859
P00352,R-HSA-70350
P00352,R-HSA-71384
P00367,R-HSA-2151201
P00367,R-HSA-8964539
P00441,R-HSA-114608
P00441,R-HSA-3299685
P00441,R-HSA-3299685
P00441,R-HSA-8950505
P00450,R-HSA-381426
P00450,R-HSA-425410
P00450,R-HSA-5619049
P00450,R-HSA-5619060
P00450,R-HSA-8957275
P00450,R-HSA-917937
P00480,R-HSA-1268020
P00480,R-HSA-1268020
P00480,R-HSA-70635
P00488,R-HSA-114608
P00488,R-HSA-140875
P00488,R-HSA-6785807
P00491,R-HSA-6798695
P00491,R-HSA-74217
P00491,R-HSA-74259
P00491,R-HSA-9735763
P00492,R-HSA-74217
P00492,R-HSA-9734281
P00492,R-HSA-9748787
P00505,R-HSA-1614558
P00505,R-HSA-389661
P00505,R-HSA-70263
P00505,R-HSA-8963693
P00505,R-HSA-8964539
P00558,R-HSA-70171
P00558,R-HSA-70263
P00558,R-HSA-9636667
P00734,R-HSA-140837
P00734,R-HSA-140875
P00734,R-HSA-159740
P00734,R-HSA-159763
P00734,R-HSA-159782
P00734,R-HSA-202733
P00734,R-HSA-375276
P00734,R-HSA-381426
P00734,R-HSA-416476
P00734,R-HSA-456926
P00734,R-HSA-76009
P00734,R-HSA-9657688
P00734,R-HSA-9672391
P00734,R-HSA-977606
P00736,R-HSA-166663
P00736,R-HSA-173623
P00736,R-HSA-977606
P00738,R-HSA-2168880
P00738,R-HSA-6798695
P00739,R-HSA-2168880
P00740,R-HSA-140834
P00740,R-HSA-140837
P00740,R-HSA-159740
P00740,R-HSA-159763
P00740,R-HSA-159782
P00740,R-HSA-9672383
P00740,R-HSA-9672396
P00740,R-HSA-9673202
P00740,R-HSA-9673218
P00740,R-HSA-9673221
P00740,R-HSA-9673240
P00742,R-HSA-140834
P00742,R-HSA-140837
P00742,R-HSA-140875
P00742,R-HSA-159740
P00742,R-HSA-159763
P00742,R-HSA-159782
P00742,R-HSA-9672383
P00742,R-HSA-9672396
P00742,R-HSA-9673202
P00746,R-HSA-114608
P00746,R-HSA-173736
P00746,R-HSA-6798695
P00747,R-HSA-114608
P00747,R-HSA-1474228
P00747,R-HSA-1474228
P00747,R-HSA-1592389
P00747,R-HSA-186797
P00747,R-HSA-381426
P00747,R-HSA-75205
P00748,R-HSA-140837
P00748,R-HSA-9657688
P00748,R-HSA-9657689
P00751,R-HSA-173736
P00751,R-HSA-174577
P00751,R-HSA-977606
P00915,R-HSA-1237044
P00915,R-HSA-1247673
P00915,R-HSA-1475029
P00915,R-HSA-8950505
P00918,R-HSA-1237044
P00918,R-HSA-1247673
P00918,R-HSA-1475029
P00966,R-HSA-70635
P01008,R-HSA-140837
P01008,R-HSA-140875
P01008,R-HSA-381426
P01008,R-HSA-8957275
P01009,R-HSA-114608
P01009,R-HSA-204005
P01009,R-HSA-381426
P01009,R-HSA-5694530
P01009,R-HSA-6798695
P01009,R-HSA-8957275
P01011,R-HSA-114608
P01011,R-HSA-6798695
P01019,R-HSA-1989781
P01019,R-HSA-2022377
P01019,R-HSA-2022377
P01019,R-HSA-375276
P01019,R-HSA-416476
P01019,R-HSA-418594
P01023,R-HSA-114608
P01023,R-HSA-140837
P01023,R-HSA-1474228
P01023,R-HSA-8963896
P01024,R-HSA-173736
P01024,R-HSA-174577
P01024,R-HSA-198933
P01024,R-HSA-375276
P01024,R-HSA-381426
P01024,R-HSA-418594
P01024,R-HSA-6798695
P01024,R-HSA-8957275
P01024,R-HSA-9660826
P01024,R-HSA-977606
P01031,R-HSA-166665
P01031,R-HSA-174577
P01031,R-HSA-375276
P01031,R-HSA-418594
P01031,R-HSA-977606
P01033,R-HSA-114608
P01033,R-HSA-1592389
P01033,R-HSA-381426
P01033,R-HSA-6783783
P01033,R-HSA-6785807
P01033,R-HSA-8957275
P01034,R-HSA-381426
P01034,R-HSA-6798695
P01034,R-HSA-8957275
P01034,R-HSA-977225
P01042,R-HSA-114608
P01042,R-HSA-140837
P01042,R-HSA-375276
P01042,R-HSA-381426
P01042,R-HSA-416476
P01042,R-HSA-418594
P01042,R-HSA-8957275
P01130,R-HSA-8856825
P01130,R-HSA-8856828
P01130,R-HSA-8964026
P01130,R-HSA-8964026
P01130,R-HSA-8964038
P01130,R-HSA-975634
P01275,R-HSA-163359
P01275,R-HSA-381676
P01275,R-HSA-381676
P01275,R-HSA-381771
P01275,R-HSA-381771
P01275,R-HSA-416476
P01275,R-HSA-418555
P01275,R-HSA-420092
P01275,R-HSA-422085
P01275,R-HSA-9660821
P01344,R-HSA-114608
P01344,R-HSA-2404192
P01344,R-HSA-2428928
P01344,R-HSA-2428933
P01344,R-HSA-381426
P01591,R-HSA-202733
P01591,R-HSA-2168880
P01593,R-HSA-166663
P01593,R-HSA-173623
P01593,R-HSA-198933
P01593,R-HSA-202733
P01593,R-HSA-2029481
P01593,R-HSA-2029481
P01593,R-HSA-2029482
P01593,R-HSA-2029485
P01593,R-HSA-2168880
P01593,R-HSA-2454202
P01593,R-HSA-2454202
P01593,R-HSA-2730905
P01593,R-HSA-2730905
P01593,R-HSA-2871796
P01593,R-HSA-2871809
P01593,R-HSA-2871809
P01593,R-HSA-2871837
P01593,R-HSA-5690714
P01593,R-HSA-9664323
P01593,R-HSA-9664323
P01593,R-HSA-9664422
P01593,R-HSA-9664422
P01593,R-HSA-9679191
P01593,R-HSA-977606
P01593,R-HSA-983695
P01593,R-HSA-983695
P01601,R-HSA-166663
P01601,R-HSA-173623
P01601,R-HSA-198933
P01601,R-HSA-202733
P01601,R-HSA-2029481
P01601,R-HSA-2029481
P01601,R-HSA-2029482
P01601,R-HSA-2029485
P01601,R-HSA-2168880
P01601,R-HSA-2454202
P01601,R-HSA-2454202
P01601,R-HSA-2730905
P01601,R-HSA-2730905
P01601,R-HSA-2871796
P01601,R-HSA-2871809
P01601,R-HSA-2871809
P01601,R-HSA-2871837
P01601,R-HSA-5690714
P01601,R-HSA-9664323
P01601,R-HSA-9664323
P01601,R-HSA-9664422
P01601,R-HSA-9664422
P01601,R-HSA-9679191
P01601,R-HSA-977606
P01601,R-HSA-983695
P01601,R-HSA-983695
P01602,R-HSA-166663
P01602,R-HSA-173623
P01602,R-HSA-198933
P01602,R-HSA-202733
P01602,R-HSA-2029481
P01602,R-HSA-2029481
P01602,R-HSA-2029482
P01602,R-HSA-2029485
P01602,R-HSA-2168880
P01602,R-HSA-2454202
P01602,R-HSA-2454202
P01602,R-HSA-2730905
P01602,R-HSA-2730905
P01602,R-HSA-2871796
P01602,R-HSA-2871809
P01602,R-HSA-2871809
P01602,R-HSA-2871837
P01602,R-HSA-5690714
P01602,R-HSA-9664323
P01602,R-HSA-9664323
P01602,R-HSA-9664422
P01602,R-HSA-9664422
P01602,R-HSA-9679191
P01602,R-HSA-977606
P01602,R-HSA-983695
P01602,R-HSA-983695
P01611,R-HSA-166663
P01611,R-HSA-173623
P01611,R-HSA-198933
P01611,R-HSA-202733
P01611,R-HSA-2029481
P01611,R-HSA-2029481
P01611,R-HSA-2029482
P01611,R-HSA-2029485
P01611,R-HSA-2168880
P01611,R-HSA-2454202
P01611,R-HSA-2454202
P01611,R-HSA-2730905
P01611,R-HSA-2730905
P01611,R-HSA-2871796
P01611,R-HSA-2871809
P01611,R-HSA-2871809
P01611,R-HSA-2871837
P01611,R-HSA-5690714
P01611,R-HSA-9664323
P01611,R-HSA-9664323
P01611,R-HSA-9664422
P01611,R-HSA-9664422
P01611,R-HSA-9679191
P01611,R-HSA-977606
P01611,R-HSA-983695
P01611,R-HSA-983695
P01614,R-HSA-166663
P01614,R-HSA-173623
P01614,R-HSA-198933
P01614,R-HSA-202733
P01614,R-HSA-2029481
P01614,R-HSA-2029481
P01614,R-HSA-2029482
P01614,R-HSA-2029485
P01614,R-HSA-2168880
P01614,R-HSA-2454202
P01614,R-HSA-2454202
P01614,R-HSA-2730905
P01614,R-HSA-2730905
P01614,R-HSA-2871796
P01614,R-HSA-2871809
P01614,R-HSA-2871809
P01614,R-HSA-2871837
P01614,R-HSA-5690714
P01614,R-HSA-9664323
P01614,R-HSA-9664323
P01614,R-HSA-9664422
P01614,R-HSA-9664422
P01614,R-HSA-9679191
P01614,R-HSA-977606
P01614,R-HSA-983695
P01614,R-HSA-983695
P01619,R-HSA-166663
P01619,R-HSA-173623
P01619,R-HSA-198933
P01619,R-HSA-202733
P01619,R-HSA-2029481
P01619,R-HSA-2029481
P01619,R-HSA-2029482
P01619,R-HSA-2029485
P01619,R-HSA-2168880
P01619,R-HSA-2454202
P01619,R-HSA-2454202
P01619,R-HSA-2730905
P01619,R-HSA-2730905
P01619,R-HSA-2871796
P01619,R-HSA-2871809
P01619,R-HSA-2871809
P01619,R-HSA-2871837
P01619,R-HSA-5690714
P01619,R-HSA-9664323
P01619,R-HSA-9664323
P01619,R-HSA-9664422
P01619,R-HSA-9664422
P01619,R-HSA-9679191
P01619,R-HSA-977606
P01619,R-HSA-983695
P01619,R-HSA-983695
P01700,R-HSA-166663
P01700,R-HSA-173623
P01700,R-HSA-198933
P01700,R-HSA-202733
P01700,R-HSA-2029481
P01700,R-HSA-2029481
P01700,R-HSA-2029482
P01700,R-HSA-2029485
P01700,R-HSA-2168880
P01700,R-HSA-2454202
P01700,R-HSA-2454202
P01700,R-HSA-2730905
P01700,R-HSA-2730905
P01700,R-HSA-2871796
P01700,R-HSA-2871809
P01700,R-HSA-2871809
P01700,R-HSA-2871837
P01700,R-HSA-5690714
P01700,R-HSA-9664323
P01700,R-HSA-9664323
P01700,R-HSA-9664422
P01700,R-HSA-9664422
P01700,R-HSA-9679191
P01700,R-HSA-977606
P01700,R-HSA-983695
P01700,R-HSA-983695
P01714,R-HSA-166663
P01714,R-HSA-173623
P01714,R-HSA-198933
P01714,R-HSA-202733
P01714,R-HSA-2029481
P01714,R-HSA-2029481
P01714,R-HSA-2029482
P01714,R-HSA-2029485
P01714,R-HSA-2168880
P01714,R-HSA-2454202
P01714,R-HSA-2454202
P01714,R-HSA-2730905
P01714,R-HSA-2730905
P01714,R-HSA-2871796
P01714,R-HSA-2871809
P01714,R-HSA-2871809
P01714,R-HSA-2871837
P01714,R-HSA-5690714
P01714,R-HSA-9664323
P01714,R-HSA-9664323
P01714,R-HSA-9664422
P01714,R-HSA-9664422
P01714,R-HSA-9679191
P01714,R-HSA-977606
P01714,R-HSA-983695
P01714,R-HSA-983695
P01717,R-HSA-166663
P01717,R-HSA-173623
P01717,R-HSA-198933
P01717,R-HSA-202733
P01717,R-HSA-2029481
P01717,R-HSA-2029481
P01717,R-HSA-2029482
P01717,R-HSA-2029485
P01717,R-HSA-2168880
P01717,R-HSA-2454202
P01717,R-HSA-2454202
P01717,R-HSA-2730905
P01717,R-HSA-2730905
P01717,R-HSA-2871796
